gloss,count
watcher,4
be.educated,4
kuineo,4
girl,4
barely,3
grieve,3
walk.around,3
hawk,3
keep,3
government,3
study,3
my.house,3
have.shame,3
new.york,3
file,3
will,3
street,3
leaf,3
myself,3
himself,3
femenine,3
receive,3
drawaway,3
amontonarcosaredonda,3
lump.up,3
feet,3
sand,3
nail,3
word,3
cha,3
marble,3
whistle,3
wrap,3
measure,3
sunshine,3
onion,3
haveenough,3
guard,3
lizard,3
owl,3
story,3
finger,3
if,3
half,3
afraid.at.night,3
move.quickly,3
coffee,3
eggs,3
thunder,3
canoe,3
patzcuaro,3
truck,3
sow,3
paper,3
louse,3
boysenberry,3
six,3
liter,3
fava.beans,3
was,3
lame,3
smoke,3
cage,3
stomach.ache,3
plant,3
ahead,3
hate,3
each.one,3
shirt,3
slow,3
forgive,3
deep,3
happy,3
color,3
cheran,3
carapan,3
turn,3
"keeper,guard",3
make.tortillas,3
men,3
escape,3
golondrina,3
room,3
first,3
whirlwind,3
step,2
be.heavy,2
dinning.room,2
space,2
tule,2
pull,2
relatives,2
wheat,2
root,2
run.water,2
drag,2
xmas,2
spanish,2
born,2
soil,2
spend,2
sign,2
combine,2
broth,2
proud,2
dictionary,2
easy,2
make.noise,2
destine,2
rock,2
bow,2
sermon,2
entangle/makenests,2
orange.tree,2
these,2
joke,2
pretend,2
jicara,2
milpa.leaves,2
bebetter,2
fair,2
honest,2
between,2
convenient,2
stand,2
paraponercosasconpies,2
sheaf,2
"paracosasplegadasyanchas,comolasmanos",2
place.bags,2
field,2
outerbelly,2
put.aside,2
sick,2
gorge,2
lean.down,2
remains,2
lugardealtoabajo,2
attract,2
allday,2
land,2
agreement,2
condole,2
match,2
fend,2
load.firewood,2
pity,2
advise,2
rig,2
axe,2
hug,2
mix,2
fold,2
knead,2
white.thing,2
resin,2
hurt,2
burning,2
whip,2
gospel,2
expect,2
inanycase,2
truly,2
heal,2
imprison,2
wolf,2
younganimal,2
round.face,2
writer,2
lion,2
eagle,2
song,2
bench,2
elderly.man,2
hot,2
thin,2
cock,2
dry.corn,2
meeting,2
be.noon,2
bite,2
today,2
chickens,2
doll,2
paintings,2
jose,2
oak,2
bury,2
wrinkle,2
chop,2
piledup,2
heavy,2
dry,2
glass,2
hat,2
apron,2
plum,2
chair,2
flea,2
gather,2
kitchen,2
fat,2
salty,2
scold,2
spy,2
hear.coming,2
legs,2
anywhere,2
stream,2
clean.house,2
neither,2
deer,2
close,2
sea,2
boat,2
tanning,2
ocassionally,2
rooster,2
grind,2
accept,2
change,2
wool,2
pear,2
reach,2
everyday,2
not.yet,2
be.smoked,2
cover.face,2
christ,2
bothofthem,2
that's.all,2
search,2
to.see.if,2
coming.back.this.way,2
outrun,2
endure,2
market,2
stray,2
meter,2
peso,2
cents,2
purepero,2
stop,2
warm.up.under.sun,2
let'sgothen,2
musician,2
doesn't.matter,2
brother.in.law,2
thatmany,2
hurried,2
sympathize,2
disgust,2
comet,2
conquer,2
destroy,2
little.priest,2
wine,2
snow,2
jump.over,2
fall.down,2
naked,2
bloom,2
spill,2
crystal,2
turn.off,2
hide,2
=since,2
hinder,2
empty,2
corn.seed,2
person.condole,2
fight,2
november,2
smash,2
move.away,2
appereance.of.place,2
grandson,2
carnation,2
sparrow,2
humming.bird,2
ladies,2
huancito,2
patamban,2
draw,2
dedicate,2
snuggle,2
dear.male,2
step.aside,2
careful,1
hurt.injury,1
destiny,1
healer,1
appreciate,1
last,1
visitors,1
straw,1
cheese,1
butter,1
work.servant,1
enemy,1
danger,1
teacher,1
company,1
country,1
depend,1
is,1
computer,1
phones,1
religious,1
religion,1
coincide,1
example,1
elderly,1
language,1
custom,1
motivate,1
signify,1
famous,1
plates,1
culture,1
document,1
explain,1
save,1
